ID,score
HUMMERICH_BENIGN_SKIN_TUMOR_DN,-22.6004483036993
MCBRYAN_TERMINAL_END_BUD_DN,-19.5121881472367
LI_ADIPOGENESIS_BY_ACTIVATED_PPARG,-17.5084179270048
POOLA_INVASIVE_BREAST_CANCER_UP,15.1390152247757
DELASERNA_TARGETS_OF_MYOD_AND_SMARCA4,-14.9899154135064
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,-14.8792029589504
CROMER_TUMORIGENESIS_UP,14.8408591853658
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,-14.7692019160422
BIOCARTA_INFLAM_PATHWAY,14.4302789817804
UROSEVIC_RESPONSE_TO_IMIQUIMOD,13.9473139662308
OHM_EMBRYONIC_CARCINOMA_DN,-13.3651235794175
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN,-13.1959262536906
NAKAJIMA_EOSINOPHIL,-13.1192821976157
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP,13.1159850210261
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,13.0297200344972
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_UP,12.9568965584537
PIEPOLI_LGI1_TARGETS_UP,-12.9453584117657
KAPOSI_LIVER_CANCER_MET_DN,-12.7038050103261
BIOCARTA_IL5_PATHWAY,12.6518274050077
SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1,12.6388753630005
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN,-12.6173717569453
LINDSTEDT_DENDRITIC_CELL_MATURATION_A,12.3838926374386
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP,12.3110685443784
DOANE_BREAST_CANCER_ESR1_UP,-12.2493846457613
REACTOME_INTERLEUKIN_10_SIGNALING,12.1574539699972
SERVITJA_ISLET_HNF1A_TARGETS_UP,11.8860829157513
NAKAMURA_ALVEOLAR_EPITHELIUM,-11.8323088921619
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP,11.8254592408092
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP,11.5456411674701
REACTOME_PI_3K_CASCADE_FGFR1,-11.3015133163199
GHANDHI_DIRECT_IRRADIATION_UP,11.2471964089665
WP_ANGIOGENESIS,-11.2357488953975
BIOCARTA_GHRELIN_PATHWAY,-11.2059543778076
BIOCARTA_BLYMPHOCYTE_PATHWAY,11.0741439094877
GABRIELY_MIR21_TARGETS,-11.0033214193531
BIOCARTA_TCYTOTOXIC_PATHWAY,10.9833307622322
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,-10.9357745192447
WANG_CLASSIC_ADIPOGENIC_TARGETS_OF_PPARG,-10.8685868616286
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,10.7710711717779
BIOCARTA_THELPER_PATHWAY,10.7669804165516
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP,10.762364373962
MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_UP,10.714696579754
WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS,10.6944194326736
LEIN_LOCALIZED_TO_DISTAL_AND_PROXIMAL_DENDRITES,-10.6818614834032
MIKKELSEN_MEF_LCP_WITH_H3K4ME3,10.6581260680192
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,-10.4982748990148
MIKKELSEN_IPS_LCP_WITH_H3K27ME3,-10.4556144113808
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,10.4543677135257
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16,10.4094779281065
REACTOME_COLLAGEN_FORMATION,10.4059352051426
WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA,10.3906859597581
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE,10.3731444646535
SIMBULAN_PARP1_TARGETS_UP,-10.3720686454666
TANG_SENESCENCE_TP53_TARGETS_DN,-10.2967104682115
SHIRAISHI_PLZF_TARGETS_DN,10.2696588710865
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION,10.2370381412856
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP,10.2353946381872
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN,10.1976314564555
WP_LNCRNAMEDIATED_MECHANISMS_OF_THERAPEUTIC_RESISTANCE,10.1938970385165
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN,-10.1082411478369
WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS,10.0457349007297
MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_UP,-10.0293857680941
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,9.98870925118859
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP,9.91017130753689
RADAEVA_RESPONSE_TO_IFNA1_DN,9.89176680572703
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,-9.86578383818133
BAUS_TFF2_TARGETS_DN,9.84021293852144
REACTOME_NCAM1_INTERACTIONS,9.75692126545498
DAZARD_RESPONSE_TO_UV_NHEK_DN,-9.75496169170966
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,-9.72394377011564
WANG_ESOPHAGUS_CANCER_VS_NORMAL_UP,9.70870982772996
HOLLERN_SOLID_NODULAR_BREAST_TUMOR_DN,9.65445849817027
REACTOME_INSULIN_PROCESSING,-9.64464770475816
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING,-9.61515032856575
BIOCARTA_RHO_PATHWAY,-9.5774019450752
RUNNE_GENDER_EFFECT_UP,-9.52994861753193
FARMER_BREAST_CANCER_CLUSTER_1,9.5073785089
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP,9.4366934398779
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP,9.42819076906649
REACTOME_SENSORY_PROCESSING_OF_SOUND,-9.39108000206568
PID_IL4_2PATHWAY,9.36321025096705
BIOCARTA_ALTERNATIVE_PATHWAY,-9.34833373378967
DAZARD_UV_RESPONSE_CLUSTER_G6,-9.33332382913828
JEPSEN_SMRT_TARGETS,9.32431176488118
MIKKELSEN_NPC_LCP_WITH_H3K4ME3,9.31379725113848
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP,9.26787585154591
LIANG_SILENCED_BY_METHYLATION_2,9.23710656273213
WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS,9.22430028307111
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,9.20286172145732
ZHANG_INTERFERON_RESPONSE,9.17984595737
KONDO_HYPOXIA,9.12102139152592
TERAO_AOX4_TARGETS_HG_DN,9.11402610887058
REACTOME_SIGNALING_BY_NTRK2_TRKB,-9.10401554157287
RODWELL_AGING_KIDNEY_UP,9.10315764161185
NUYTTEN_NIPP1_TARGETS_UP,9.09736849806476
